0,Kp,Ki,Kd,setpoint,feedfwd

16,2.00,7.00,2.00,0.00,80

34,input,output

52,0.00,0.00

66,0.00,0.00

84,0.00,0.00

100,0.00,0.00

117,0.00,0.00

134,0.00,0.00

150,0.00,0.00

171,0.00,0.00

183,0.00,0.00

200,0.00,0.00

219,0.00,0.00

237,0.00,0.00

250,0.00,0.00

267,0.00,0.00

284,0.00,0.00

300,0.00,0.00

317,0.00,0.00

333,Processing: p 2.0

352,Change KpA and KpB to: 2.00

367,Kp,Ki,Kd,setpoint,feedfwd

384,2.00,7.00,2.00,0.00,80

400,input,output

417,Processing: i 7.0

437,Change KiA and KiB to: 7.00

450,Kp,Ki,Kd,setpoint,feedfwd

470,2.00,7.00,2.00,0.00,80

484,input,output

500,Processing: d 2.0

518,Change KdA and KdB to: 2.00

536,Kp,Ki,Kd,setpoint,feedfwd

553,2.00,7.00,2.00,0.00,80

567,input,output

584,Processing: s 0.5

600,Change setpoint to: 0.50

617,Kp,Ki,Kd,setpoint,feedfwd

635,2.00,7.00,2.00,0.50,80

650,input,output

667,0.00,0.00

683,0.00,1.03

701,0.00,1.03

717,0.00,1.03

734,0.00,1.03

750,0.00,1.03

767,0.00,1.03

786,0.00,1.03

801,0.00,1.03

820,0.00,1.03

834,0.00,1.03

851,0.00,1.03

867,0.00,1.03

883,0.00,1.07

900,0.00,1.07

918,0.00,1.07

934,0.00,1.07

950,0.00,1.07

967,0.00,1.07

984,0.00,1.07

1003,0.00,1.07

1017,0.00,1.07

1033,0.00,1.07

1052,0.00,1.07

1067,0.00,1.07

1084,0.00,1.11

1100,0.00,1.11

1117,0.00,1.11

1134,0.00,1.11

1150,0.00,1.11

1167,0.00,1.11

1184,0.00,1.11

1204,0.00,1.11

1217,0.00,1.11

1238,0.00,1.11

1251,0.00,1.11

1267,0.00,1.11

1283,0.00,1.14

1301,0.00,1.14

1319,0.00,1.14

1334,0.00,1.14

1352,0.00,1.14

1368,0.00,1.14

1384,0.00,1.14

1400,0.00,1.14

1417,0.00,1.14

1433,0.00,1.14

1454,0.00,1.14

1467,0.00,1.17

1486,0.00,1.17

1500,0.00,1.17

1519,0.00,1.17

1533,0.00,1.17

1552,0.00,1.17

1567,0.00,1.17

1588,0.00,1.17

1600,0.00,1.17

1617,0.00,1.17

1634,0.00,1.17

1652,0.00,1.17

1667,0.00,1.21

1684,0.00,1.21

1703,0.00,1.21

1718,0.00,1.21

1734,0.00,1.21

1750,0.00,1.21

1768,0.00,1.21

1784,0.00,1.21

1804,0.00,1.21

1817,0.00,1.21

1834,0.00,1.21

1851,0.00,1.21

1867,0.00,1.25

1887,0.00,1.25

1900,0.00,1.25

1917,0.00,1.25

1934,0.00,1.25

1954,0.00,1.25

1968,0.00,1.25

1983,0.00,1.25

2000,0.00,1.25

2017,0.00,1.25

2034,0.00,1.25

2053,0.00,1.25

2067,0.00,1.28

2084,0.00,1.28

2100,0.00,1.28

2117,0.00,1.28

2137,0.00,1.28

2150,0.00,1.28

2170,0.00,1.28

2184,0.00,1.28

2200,0.00,1.28

2217,0.00,1.28

2236,0.00,1.28

2250,0.00,1.32

2269,0.00,1.32

2285,0.00,1.32

2300,0.00,1.32

2319,0.00,1.32

2334,0.00,1.32

2350,0.00,1.32

2370,0.00,1.32

2384,0.00,1.32

2400,0.00,1.32

2417,0.00,1.32

2434,0.00,1.32

2452,0.00,1.35

2470,0.00,1.35

2484,0.00,1.35

2503,0.00,1.35

2517,0.00,1.35

2535,0.00,1.35

2553,0.00,1.35

2570,0.00,1.35

2587,0.00,1.35

2601,0.00,1.35

2617,0.00,1.35

2634,0.00,1.35

2650,0.00,1.38

2667,0.00,1.38

2685,0.00,1.38

2700,0.00,1.38

2717,0.00,1.38

2734,0.00,1.38

2750,0.00,1.38

2767,0.00,1.38

2787,0.00,1.38

2800,0.00,1.38

2817,0.00,1.38

2834,0.00,1.38

2850,0.00,1.42

2867,0.00,1.42

2884,0.00,1.42

2902,0.00,1.42

2917,0.00,1.42

2934,0.00,1.42

2950,0.00,1.42

2967,0.00,1.42

2984,0.00,1.42

3000,0.00,1.42

3017,0.00,1.42

3035,0.00,1.45

3053,0.00,1.45

3067,0.00,1.45

3084,0.00,1.45

3101,0.00,1.45

3117,0.00,1.45

3134,0.00,1.45

3153,0.00,1.45

3167,0.00,1.45

3184,0.00,1.45

3200,0.00,1.45

3217,0.00,1.45

3234,0.00,1.49

3251,0.00,1.49

3267,0.00,1.49

3283,0.00,1.49

3301,0.00,1.49

3317,0.00,1.49

3334,0.00,1.49

3350,0.00,1.49

3370,0.00,1.49

3384,0.00,1.49

3401,0.00,1.49

3417,0.00,1.49

3436,0.00,1.52

3450,0.00,1.52

3467,0.00,1.52

3485,0.00,1.52

3501,0.00,1.52

3517,0.00,1.52

3535,0.00,1.52

3553,0.00,1.52

3567,0.00,1.52

3586,0.00,1.52

3600,0.00,1.52

3617,0.00,1.52

3636,0.00,1.56

3650,0.00,1.56

3667,0.00,1.56

3684,0.00,1.56

3704,0.00,1.56

3718,0.00,1.56

3735,0.00,1.56

3750,0.00,1.56

3767,0.00,1.56

3786,0.00,1.56

3801,0.00,1.56

3817,0.00,1.56

3835,0.00,1.60

3850,0.00,1.60

3867,0.00,1.60

3885,0.00,1.60

3901,0.00,1.60

3917,0.00,1.60

3935,0.00,1.60

3951,0.00,1.60

3967,0.00,1.60

3985,0.00,1.60

4001,0.00,1.60

4021,0.00,1.63

4035,0.00,1.63

4050,0.00,1.63

4067,0.00,1.63

4085,0.00,1.63

4100,0.00,1.63

4117,0.00,1.63

4136,0.00,1.63

