18,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

35,1.00,0.00,0.00,1.50,70,1.00,0.00,0.00,1.50,70

52,inputA,outputA,a_adjust,inputB,outputB,b_adjust

68,0.00,1.50,70,0.00,1.50,70

85,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

102,10.00,0.00,0.00,1.50,70,10.00,0.00,0.00,1.50,70

119,inputA,outputA,a_adjust,inputB,outputB,b_adjust

135,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

152,10.00,10.00,0.00,1.50,70,10.00,10.00,0.00,1.50,70

168,inputA,outputA,a_adjust,inputB,outputB,b_adjust

184,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

201,10.00,10.00,0.00,1.50,70,10.00,10.00,0.00,1.50,70

218,inputA,outputA,a_adjust,inputB,outputB,b_adjust

235,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

252,10.00,10.00,0.00,2.00,70,10.00,10.00,0.00,3.00,70

268,inputA,outputA,a_adjust,inputB,outputB,b_adjust

285,0.00,1.50,70,0.00,1.50,70

302,0.00,21.70,70,0.00,31.80,70

319,0.00,21.70,70,0.00,31.80,70

335,0.00,21.70,70,0.00,31.80,70

351,0.00,21.70,70,0.00,31.80,70

369,0.00,21.70,70,0.00,31.80,70

385,0.00,21.90,70,0.00,32.10,70

402,0.00,21.90,70,0.00,32.10,70

416,0.00,21.90,70,0.00,32.10,70

436,0.00,21.90,70,0.00,32.10,70

452,0.00,22.10,70,0.00,32.40,70

468,0.00,22.10,70,0.00,32.40,70

485,0.00,22.10,70,0.00,32.40,70

502,0.00,22.10,70,0.00,32.40,70

519,0.00,22.30,70,0.00,32.40,70

535,0.00,22.30,70,0.00,32.70,70

552,0.00,22.30,70,0.00,32.70,70

568,0.00,22.30,70,0.00,32.70,70

585,0.00,22.30,70,0.00,32.70,70

602,0.00,22.50,70,0.00,33.00,70

618,0.00,22.50,70,0.00,33.00,70

635,0.00,22.50,70,0.00,33.00,70

652,0.00,22.50,70,0.00,33.00,70

668,0.00,22.70,70,0.00,33.00,70

685,0.00,22.70,70,0.00,33.30,70

702,0.00,22.70,70,0.00,33.30,70

718,0.00,22.70,70,0.00,33.30,70

735,0.00,22.90,70,0.00,33.30,70

752,0.00,22.90,70,0.00,33.60,70

768,0.00,22.90,70,0.00,33.60,70

785,0.00,22.90,70,0.00,33.60,70

802,0.00,22.90,70,0.00,33.60,70

818,0.00,23.10,70,0.00,33.90,70

835,0.00,23.10,70,0.00,33.90,70

852,0.00,23.10,70,0.00,33.90,70

868,0.00,23.10,70,0.00,33.90,70

885,0.00,23.10,70,0.00,33.90,70

902,0.00,23.30,70,0.00,34.20,70

918,0.00,23.30,70,0.00,34.20,70

935,0.00,23.30,70,0.00,34.20,70

952,0.00,23.30,70,0.00,34.20,70

968,0.00,23.50,70,0.00,34.50,70

985,0.00,23.50,70,0.00,34.50,70

1002,0.00,23.50,70,0.00,34.50,70

1018,0.00,23.50,70,0.00,34.50,70

1034,0.00,23.70,70,0.00,34.80,70

1052,0.00,23.70,70,0.00,34.80,70

1068,0.00,23.70,70,1.77,34.80,70

1085,0.00,23.70,70,1.77,34.80,70

1102,0.00,23.70,70,1.77,34.80,70

1118,0.00,23.90,70,1.77,17.24,70

1135,1.70,23.90,70,1.77,17.24,70

1152,1.70,23.90,70,1.77,17.24,70

1168,1.70,23.90,70,1.77,17.24,70

1189,1.70,6.92,70,1.77,17.24,70

1199,1.70,6.92,70,1.77,17.36,70

