0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

16,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

33,inputA,outputA,a_adjust,inputB,outputB,b_adjust

50,0.00,1.50,60,0.00,1.50,60

67,0.00,1.50,60,0.00,1.50,60

82,0.00,1.50,60,0.00,1.50,60

98,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

118,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

133,inputA,outputA,a_adjust,inputB,outputB,b_adjust

148,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

166,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

181,inputA,outputA,a_adjust,inputB,outputB,b_adjust

200,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

216,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

233,inputA,outputA,a_adjust,inputB,outputB,b_adjust

248,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

266,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,3.00,60

281,inputA,outputA,a_adjust,inputB,outputB,b_adjust

300,0.00,1.50,60,0.00,1.50,60

316,0.00,16.87,60,0.00,32.25,60

332,0.00,16.87,60,0.00,32.25,60

350,0.00,16.87,60,0.00,32.25,60

367,0.00,16.87,60,0.00,32.25,60

382,0.00,16.87,60,0.00,32.25,60

399,0.00,17.25,60,0.00,33.00,60

417,0.00,17.25,60,0.00,33.00,60

432,0.00,17.25,60,0.00,33.00,60

447,0.00,17.25,60,0.00,33.00,60

466,0.00,17.62,60,0.00,33.75,60

484,0.00,17.62,60,0.00,33.75,60

498,0.00,17.62,60,0.00,33.75,60

516,0.00,17.62,60,0.00,33.75,60

534,0.00,17.62,60,0.00,33.75,60

550,0.00,18.00,60,0.00,34.50,60

567,0.00,18.00,60,0.00,34.50,60

583,0.00,18.00,60,0.00,34.50,60

598,0.00,18.00,60,0.00,34.50,60

616,0.00,18.37,60,0.00,34.50,60

634,0.00,18.37,60,0.00,35.25,60

650,0.00,18.37,60,0.00,35.25,60

666,0.00,18.37,60,0.00,35.25,60

682,0.00,18.37,60,0.00,35.25,60

698,0.00,18.75,60,0.00,35.25,60

717,0.00,18.75,60,0.00,36.00,60

733,0.00,18.75,60,0.00,36.00,60

749,0.00,18.75,60,0.00,36.00,60

766,0.00,19.12,60,0.00,36.00,60

784,0.00,19.12,60,0.00,36.00,60

801,0.00,19.12,60,0.00,36.75,60

814,0.00,19.12,60,0.00,36.75,60

834,0.00,19.12,60,0.00,36.75,60

848,0.00,19.50,60,0.00,36.75,60

864,0.00,19.50,60,0.00,37.50,60

882,0.00,19.50,60,0.00,37.50,60

898,0.00,19.50,60,0.00,37.50,60

916,0.00,19.87,60,0.00,37.50,60

933,0.00,19.87,60,0.00,37.50,60

947,0.00,19.87,60,0.00,38.25,60

