17,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

31,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

50,inputA,outputA,a_adjust,inputB,outputB,b_adjust

66,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

84,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

101,inputA,outputA,a_adjust,inputB,outputB,b_adjust

117,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

132,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

152,inputA,outputA,a_adjust,inputB,outputB,b_adjust

166,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

183,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

202,inputA,outputA,a_adjust,inputB,outputB,b_adjust

215,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

232,10.00,25.00,0.00,2.50,60,10.00,25.00,0.00,2.50,60

250,inputA,outputA,a_adjust,inputB,outputB,b_adjust

268,0.00,1.50,60,0.00,1.50,60

284,0.00,27.12,60,0.00,27.12,60

301,0.00,27.12,60,0.00,27.12,60

317,0.00,27.12,60,0.00,27.12,60

335,0.00,27.12,60,0.00,27.12,60

349,0.00,27.75,60,0.00,27.12,60

371,0.00,27.75,60,0.00,27.75,60

382,0.00,27.75,60,0.00,27.75,60

400,0.00,27.75,60,0.00,27.75,60

415,0.00,27.75,60,0.00,27.75,60

432,0.00,28.37,60,0.00,27.75,60

450,0.00,28.37,60,0.00,28.37,60

468,0.00,28.37,60,0.00,28.37,60

482,0.00,28.37,60,0.00,28.37,60

499,0.00,29.00,60,0.00,28.37,60

517,0.00,29.00,60,0.00,28.37,60

534,0.00,29.00,60,0.00,29.00,60

550,0.00,29.00,60,0.00,29.00,60

568,0.00,29.00,60,0.00,29.00,60

585,0.00,29.62,60,0.00,29.00,60

601,0.00,29.62,60,0.00,29.62,60

616,0.00,29.62,60,0.00,29.62,60

634,0.00,29.62,60,0.00,29.62,60

649,0.00,30.25,60,0.00,29.62,60

666,0.00,30.25,60,0.00,29.62,60

685,0.00,30.25,60,0.00,30.25,60

699,0.00,30.25,60,0.00,30.25,60

718,0.00,30.25,60,0.00,30.25,60

731,0.00,30.87,60,0.00,30.25,60

751,0.00,30.87,60,0.00,30.87,60

768,0.00,30.87,60,0.00,30.87,60

784,0.00,30.87,60,0.00,30.87,60

798,0.00,30.87,60,0.00,30.87,60

818,0.00,31.50,60,0.00,30.87,60

834,0.00,31.50,60,0.00,31.50,60

850,0.00,31.50,60,0.00,31.50,60

869,0.00,31.50,60,0.00,31.50,60

882,0.00,31.50,60,0.00,31.50,60

902,0.00,32.13,60,0.00,32.13,60

917,0.00,32.13,60,0.00,32.13,60

933,0.00,32.13,60,0.00,32.13,60

950,0.00,32.13,60,0.00,32.13,60

965,0.00,32.75,60,0.00,32.13,60

983,0.00,32.75,60,0.00,32.75,60

1001,0.00,32.75,60,0.00,32.75,60

1016,0.00,32.75,60,0.00,32.75,60

1035,0.00,33.38,60,0.00,32.75,60

1050,0.00,33.38,60,0.00,33.38,60

1068,0.00,33.38,60,0.00,33.38,60

1084,0.00,33.38,60,0.00,33.38,60

1100,0.00,33.38,60,0.00,33.38,60

1118,0.00,34.00,60,0.00,34.00,60

1133,0.00,34.00,60,0.00,34.00,60

1149,0.00,34.00,60,0.00,34.00,60

1169,0.00,34.00,60,0.00,34.00,60

1182,0.00,34.00,60,0.00,34.00,60

1201,0.00,34.63,60,0.00,34.63,60

1216,0.00,34.63,60,0.00,34.63,60

1235,0.00,34.63,60,0.00,34.63,60

1250,0.00,34.63,60,0.00,34.63,60

1268,0.00,35.25,60,0.00,35.25,60

1282,0.00,35.25,60,0.00,35.25,60

1300,0.00,35.25,60,0.00,35.25,60

1317,0.00,35.25,60,0.00,35.25,60

1332,0.00,35.88,60,0.00,35.88,60

1350,0.00,35.88,60,0.00,35.88,60

1366,0.00,35.88,60,0.00,35.88,60

1385,0.00,35.88,60,0.00,35.88,60

1399,0.00,35.88,60,0.00,35.88,60

1418,0.00,36.50,60,0.00,36.50,60

1433,0.00,36.50,60,0.00,36.50,60

1448,0.00,36.50,60,0.00,36.50,60

1469,0.00,36.50,60,0.00,36.50,60

1482,0.00,37.13,60,0.00,36.50,60

1499,0.00,37.13,60,0.00,37.13,60

1516,0.00,37.13,60,0.00,37.13,60

1534,0.00,37.13,60,0.00,37.13,60

1551,0.00,37.13,60,0.00,37.13,60

1568,0.00,37.75,60,0.00,37.13,60

1582,0.00,37.75,60,0.00,37.75,60

1599,0.00,37.75,60,0.00,37.75,60

1615,0.00,37.75,60,0.00,37.75,60

1632,0.00,38.38,60,0.00,37.75,60

1650,0.00,38.38,60,0.00,38.38,60

1665,0.00,38.38,60,0.00,38.38,60

1685,0.00,38.38,60,0.00,38.38,60

1702,0.00,38.38,60,0.00,38.38,60

1715,0.00,39.00,60,0.00,38.38,60

1735,0.00,39.00,60,0.00,39.00,60

1750,0.00,39.00,60,0.00,39.00,60

1768,0.00,39.00,60,0.00,39.00,60

1783,0.00,39.63,60,0.00,39.00,60

1800,0.00,39.63,60,0.00,39.00,60

1815,0.00,39.63,60,0.00,39.63,60

1834,0.00,39.63,60,0.00,39.63,60

1851,0.00,39.63,60,0.00,39.63,60

