0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

15,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

32,inputA,outputA,a_adjust,inputB,outputB,b_adjust

49,0.00,1.50,80,0.00,1.50,80

65,0.00,1.50,80,0.00,1.50,80

82,0.00,1.50,80,0.00,1.50,80

99,0.00,1.50,80,0.00,1.50,80

116,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

132,10.00,0.00,0.00,1.50,80,10.00,0.00,0.00,1.50,80

149,inputA,outputA,a_adjust,inputB,outputB,b_adjust

165,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

182,10.00,10.00,0.00,1.50,80,10.00,10.00,0.00,1.50,80

199,inputA,outputA,a_adjust,inputB,outputB,b_adjust

215,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

233,10.00,10.00,0.00,1.50,80,10.00,10.00,0.00,1.50,80

249,inputA,outputA,a_adjust,inputB,outputB,b_adjust

265,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

282,10.00,10.00,0.00,2.00,80,10.00,10.00,0.00,3.00,80

299,inputA,outputA,a_adjust,inputB,outputB,b_adjust

315,0.00,1.50,80,0.00,1.50,80

332,0.00,21.70,80,0.00,31.80,80

349,0.00,21.70,80,0.00,31.80,80

365,0.00,21.70,80,0.00,31.80,80

382,0.00,21.70,80,0.00,31.80,80

400,0.00,21.70,80,0.00,31.80,80

416,0.00,21.90,80,0.00,32.10,80

430,0.00,21.90,80,0.00,32.10,80

449,0.00,21.90,80,0.00,32.10,80

466,0.00,21.90,80,0.00,32.10,80

483,0.00,22.10,80,0.00,32.40,80

500,0.00,22.10,80,0.00,32.40,80

515,0.00,22.10,80,0.00,32.40,80

533,0.00,22.10,80,0.00,32.40,80

548,0.00,22.10,80,0.00,32.40,80

564,0.00,22.30,80,0.00,32.70,80

583,0.00,22.30,80,0.00,32.70,80

599,0.00,22.30,80,0.00,32.70,80

616,0.00,22.30,80,0.00,32.70,80

632,0.00,22.30,80,0.00,32.70,80

649,0.00,22.50,80,0.00,33.00,80

665,0.00,22.50,80,0.00,33.00,80

682,0.00,22.50,80,0.00,33.00,80

700,0.00,22.50,80,0.00,33.00,80

716,0.00,22.70,80,0.00,33.30,80

732,0.00,22.70,80,0.00,33.30,80

747,0.00,22.70,80,0.00,33.30,80

765,0.00,22.70,80,0.00,33.30,80

782,0.00,22.70,80,0.00,33.30,80

799,0.00,22.90,80,0.00,33.60,80

816,0.00,22.90,80,0.00,33.60,80

832,0.00,22.90,80,0.00,33.60,80

849,0.00,22.90,80,0.00,33.60,80

866,0.00,22.90,80,0.00,33.60,80

882,0.00,23.10,80,0.00,33.90,80

899,0.00,23.10,80,0.00,33.90,80

916,0.00,23.10,80,0.00,33.90,80

932,0.00,23.10,80,0.00,33.90,80

949,0.00,23.10,80,0.00,33.90,80

966,0.00,23.30,80,0.00,34.20,80

983,0.00,23.30,80,0.00,34.20,80

1000,0.00,23.30,80,0.00,34.20,80

1016,0.00,23.30,80,0.00,34.20,80

1032,0.00,23.50,80,0.00,34.50,80

1049,0.00,23.50,80,0.00,34.50,80

1067,0.00,23.50,80,0.00,34.50,80

1080,0.00,23.50,80,0.00,34.50,80

1099,0.00,23.50,80,0.00,34.50,80

1116,0.00,23.70,80,0.00,34.80,80

1132,0.00,23.70,80,0.00,34.80,80

1149,0.00,23.70,80,0.00,34.80,80

1166,0.00,23.70,80,0.00,34.80,80

1182,0.00,23.90,80,0.00,35.10,80

1199,0.00,23.90,80,0.00,35.10,80

1216,0.00,23.90,80,0.00,35.10,80

1232,0.00,23.90,80,0.00,35.10,80

1249,0.00,23.90,80,0.00,35.10,80

1264,0.00,24.10,80,0.00,35.40,80

1282,0.00,24.10,80,0.00,35.40,80

1299,0.00,24.10,80,0.00,35.40,80

1316,0.00,24.10,80,0.00,35.40,80

1332,0.00,24.30,80,0.00,35.70,80

1349,0.00,24.30,80,0.00,35.70,80

1366,0.00,24.30,80,0.00,35.70,80

1382,0.00,24.30,80,0.00,35.70,80

1399,0.00,24.30,80,0.00,35.70,80

1416,0.00,24.50,80,0.00,36.00,80

1432,0.00,24.50,80,0.00,36.00,80

1449,0.00,24.50,80,0.00,36.00,80

1466,0.00,24.50,80,0.00,36.00,80

1482,0.00,24.50,80,0.00,36.00,80

1499,0.00,24.70,80,0.00,36.30,80

1516,0.00,24.70,80,0.00,36.30,80

1533,0.00,24.70,80,0.00,36.30,80

1550,0.00,24.70,80,0.00,36.30,80

1566,0.00,24.70,80,0.00,36.30,80

1582,0.00,24.90,80,0.00,36.60,80

1599,0.00,24.90,80,0.00,36.60,80

1616,0.00,24.90,80,0.00,36.60,80

1632,0.00,24.90,80,0.00,36.60,80

1648,0.00,25.10,80,0.00,36.90,80

1665,0.00,25.10,80,0.00,36.90,80

1682,0.00,25.10,80,0.00,36.90,80

1699,0.00,25.10,80,0.00,36.90,80

1716,0.00,25.10,80,0.00,36.90,80

1732,0.00,25.30,80,0.00,37.20,80

1749,0.00,25.30,80,0.00,37.20,80

1765,0.00,25.30,80,0.00,37.20,80

1783,0.00,25.30,80,0.00,37.20,80

1799,0.00,25.50,80,0.00,37.50,80

1816,0.00,25.50,80,0.00,37.50,80

1832,0.00,25.50,80,0.00,37.50,80

1849,0.00,25.50,80,0.00,37.50,80

1866,0.00,25.50,80,0.00,37.50,80

1883,0.00,25.70,80,0.00,37.80,80

1900,0.00,25.70,80,0.00,37.80,80

1913,0.00,25.70,80,0.00,37.80,80

1934,0.00,25.70,80,0.00,37.80,80

1950,0.00,25.90,80,0.00,38.10,80

1967,0.00,25.90,80,0.00,38.10,80

1982,0.00,25.90,80,0.00,38.10,80

2000,0.00,25.90,80,0.00,38.10,80

2015,0.00,25.90,80,0.00,38.10,80

2033,0.00,26.10,80,0.00,38.40,80

2049,0.00,26.10,80,0.00,38.40,80

2066,0.00,26.10,80,0.00,38.40,80

2083,0.00,26.10,80,0.00,38.40,80

2100,0.00,26.10,80,0.00,38.40,80

2116,0.00,26.30,80,0.00,38.70,80

2132,0.00,26.30,80,0.00,38.70,80

2149,0.00,26.30,80,0.00,38.70,80

2167,0.00,26.30,80,0.00,38.70,80

2182,0.00,26.30,80,0.00,38.70,80

2199,0.00,26.50,80,0.00,39.00,80

2216,0.00,26.50,80,0.00,39.00,80

2232,0.00,26.50,80,0.00,39.00,80

2250,0.00,26.50,80,0.00,39.00,80

2266,0.00,26.70,80,0.00,39.30,80

2282,0.00,26.70,80,0.00,39.30,80

2299,0.00,26.70,80,0.00,39.30,80

2316,0.00,26.70,80,0.00,39.30,80

2332,0.00,26.70,80,0.00,39.30,80

2349,0.00,26.90,80,0.00,39.60,80

2366,0.00,26.90,80,0.00,39.60,80

2383,0.00,26.90,80,0.00,39.60,80

2399,0.85,26.90,80,0.00,39.60,80

2416,0.85,18.54,80,0.00,39.90,80

2433,0.85,18.54,80,0.00,39.90,80

2449,0.85,18.54,80,0.83,39.90,80

2466,0.85,18.54,80,0.83,39.90,80

2483,0.85,18.54,80,0.83,39.90,80

2500,0.85,18.65,80,0.83,31.80,80

2516,0.85,18.65,80,0.83,31.80,80

2533,0.85,18.65,80,0.83,31.80,80

2549,0.85,18.65,80,0.83,31.80,80

2567,0.85,18.77,80,0.83,32.01,80

2582,0.85,18.77,80,0.83,32.01,80

2599,0.85,18.77,80,0.83,32.01,80

2616,0.85,18.77,80,0.83,32.01,80

2632,0.85,18.77,80,0.83,32.01,80

2649,0.85,18.88,80,0.83,32.23,80

2666,0.85,18.88,80,0.83,32.23,80

2682,0.85,18.88,80,0.83,32.23,80

2699,0.85,18.88,80,0.83,32.23,80

2715,0.85,18.88,80,0.83,32.23,80

2733,0.85,19.00,80,0.83,32.45,80

2749,0.85,19.00,80,0.83,32.45,80

2766,0.85,19.00,80,0.83,32.45,80

2782,0.85,19.00,80,0.83,32.45,80

2800,0.85,19.00,80,0.83,32.45,80

