0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

15,1.00,0.00,0.00,1.50,70,1.00,0.00,0.00,1.50,70

33,inputA,outputA,a_adjust,inputB,outputB,b_adjust

50,0.00,1.50,70,0.00,1.50,70

65,0.00,1.50,70,0.00,1.50,70

84,0.00,1.50,70,0.00,1.50,70

100,0.00,1.50,70,0.00,1.50,70

114,0.00,1.50,70,0.00,1.50,70

133,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

148,10.00,0.00,0.00,1.50,70,10.00,0.00,0.00,1.50,70

166,inputA,outputA,a_adjust,inputB,outputB,b_adjust

183,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

200,10.00,10.00,0.00,1.50,70,10.00,10.00,0.00,1.50,70

215,inputA,outputA,a_adjust,inputB,outputB,b_adjust

233,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

250,10.00,10.00,0.00,1.50,70,10.00,10.00,0.00,1.50,70

265,inputA,outputA,a_adjust,inputB,outputB,b_adjust

283,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

300,10.00,10.00,0.00,3.00,70,10.00,10.00,0.00,3.00,70

317,inputA,outputA,a_adjust,inputB,outputB,b_adjust

333,0.00,1.50,70,0.00,1.50,70

350,0.00,31.80,70,0.00,31.80,70

366,0.00,31.80,70,0.00,31.80,70

383,0.00,31.80,70,0.00,31.80,70

400,0.00,31.80,70,0.00,31.80,70

416,0.00,32.10,70,0.00,32.10,70

433,0.00,32.10,70,0.00,32.10,70

450,0.00,32.10,70,0.00,32.10,70

466,0.00,32.10,70,0.00,32.10,70

483,0.00,32.40,70,0.00,32.40,70

500,0.00,32.40,70,0.00,32.40,70

515,0.00,32.40,70,0.00,32.40,70

533,0.00,32.40,70,0.00,32.40,70

550,0.00,32.40,70,0.00,32.40,70

564,0.00,32.70,70,0.00,32.70,70

583,0.00,32.70,70,0.00,32.70,70

601,0.00,32.70,70,0.00,32.70,70

615,0.00,32.70,70,0.00,32.70,70

633,0.00,33.00,70,0.00,32.70,70

650,0.00,33.00,70,0.00,33.00,70

665,0.00,33.00,70,0.00,33.00,70

684,0.00,33.00,70,0.00,33.00,70

700,0.00,33.00,70,0.00,33.00,70

716,0.00,33.30,70,0.00,33.00,70

733,0.00,33.30,70,0.00,33.30,70

750,0.00,33.30,70,0.00,33.30,70

765,0.00,33.30,70,0.00,33.30,70

784,0.00,33.60,70,0.00,33.30,70

799,0.00,33.60,70,0.00,33.30,70

816,0.00,33.60,70,0.00,33.60,70

831,0.00,33.60,70,0.00,33.60,70

850,0.00,33.60,70,0.00,33.60,70

866,0.00,33.90,70,0.00,33.60,70

883,0.00,33.90,70,0.00,33.90,70

900,0.00,33.90,70,0.00,33.90,70

916,0.00,33.90,70,0.00,33.90,70

933,0.00,34.20,70,0.00,33.90,70

950,0.00,34.20,70,0.00,33.90,70

967,0.00,34.20,70,0.00,34.20,70

983,0.00,34.20,70,0.00,34.20,70

998,0.00,34.20,70,0.00,34.20,70

1016,0.00,34.50,70,0.00,34.20,70

1033,0.00,34.50,70,0.00,34.50,70

1049,0.00,34.50,70,0.00,34.50,70

1066,0.00,34.50,70,0.00,34.50,70

1084,0.00,34.80,70,0.00,34.50,70

1098,0.00,34.80,70,0.00,34.50,70

1118,1.70,34.80,70,0.00,34.80,70

1133,1.70,34.80,70,0.00,34.80,70

1148,1.70,17.92,70,0.00,34.80,70

1166,1.70,17.92,70,0.00,34.80,70

1183,1.70,17.92,70,0.00,34.80,70

1199,1.70,17.92,70,0.00,35.10,70

1216,1.70,17.92,70,1.56,35.10,70

