0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

19,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

35,inputA,outputA,a_adjust,inputB,outputB,b_adjust

49,0.00,1.50,60,0.00,1.50,60

66,0.00,1.50,60,0.00,1.50,60

86,0.00,1.50,60,0.00,1.50,60

100,0.00,1.50,60,0.00,1.50,60

117,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

134,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

149,inputA,outputA,a_adjust,inputB,outputB,b_adjust

166,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

187,10.00,20.00,0.00,1.50,60,10.00,20.00,0.00,1.50,60

199,inputA,outputA,a_adjust,inputB,outputB,b_adjust

217,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

234,10.00,20.00,0.00,1.50,60,10.00,20.00,0.00,1.50,60

252,inputA,outputA,a_adjust,inputB,outputB,b_adjust

269,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

283,10.00,20.00,0.00,1.50,60,10.00,20.00,0.00,3.00,60

301,inputA,outputA,a_adjust,inputB,outputB,b_adjust

316,0.00,1.50,60,0.00,1.50,60

335,0.00,16.80,60,0.00,32.10,60

350,0.00,16.80,60,0.00,32.10,60

368,0.00,16.80,60,0.00,32.10,60

383,0.00,16.80,60,0.00,32.10,60

400,0.00,16.80,60,0.00,32.10,60

419,0.00,17.10,60,0.00,32.70,60

434,0.00,17.10,60,0.00,32.70,60

450,0.00,17.10,60,0.00,32.70,60

467,0.00,17.10,60,0.00,32.70,60

484,0.00,17.40,60,0.00,33.30,60

502,0.00,17.40,60,0.00,33.30,60

516,0.00,17.40,60,0.00,33.30,60

533,0.00,17.40,60,0.00,33.30,60

552,0.00,17.40,60,0.00,33.30,60

569,0.00,17.70,60,0.00,33.90,60

584,0.00,17.70,60,0.00,33.90,60

602,0.00,17.70,60,0.00,33.90,60

619,0.00,17.70,60,0.00,33.90,60

636,0.00,17.70,60,0.00,33.90,60

651,0.00,18.00,60,0.00,34.50,60

666,0.00,18.00,60,0.00,34.50,60

684,0.00,18.00,60,0.00,34.50,60

703,0.00,18.00,60,0.00,34.50,60

716,0.00,18.30,60,0.00,35.10,60

735,0.00,18.30,60,0.00,35.10,60

750,0.00,18.30,60,0.00,35.10,60

768,0.00,18.30,60,0.00,35.10,60

783,0.00,18.30,60,0.00,35.10,60

801,0.00,18.60,60,0.00,35.70,60

820,0.00,18.60,60,0.00,35.70,60

833,0.00,18.60,60,0.00,35.70,60

853,0.00,18.60,60,0.00,35.70,60

