0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

16,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

33,inputA,outputA,a_adjust,inputB,outputB,b_adjust

50,0.00,1.50,60,0.00,1.50,60

66,0.00,1.50,60,0.00,1.50,60

83,0.00,1.50,60,0.00,1.50,60

99,0.00,1.50,60,0.00,1.50,60

115,0.00,1.50,60,0.00,1.50,60

133,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

149,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

166,inputA,outputA,a_adjust,inputB,outputB,b_adjust

183,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

200,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

216,inputA,outputA,a_adjust,inputB,outputB,b_adjust

234,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

249,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

265,inputA,outputA,a_adjust,inputB,outputB,b_adjust

283,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

300,10.00,25.00,0.00,0.00,60,10.00,25.00,0.00,0.00,60

316,inputA,outputA,a_adjust,inputB,outputB,b_adjust

332,0.00,1.50,0,0.00,1.50,0

349,0.00,1.50,0,0.00,1.50,0

366,0.00,1.50,0,0.00,1.50,0

383,0.00,1.50,0,0.00,1.50,0

399,0.00,1.50,0,0.00,1.50,0

416,0.00,1.50,0,0.00,1.50,0

433,0.00,1.50,0,0.00,1.50,0

448,0.00,1.50,0,0.00,1.50,0

466,0.00,1.50,0,0.00,1.50,0

483,0.00,1.50,0,0.00,1.50,0

499,0.00,1.50,0,0.00,1.50,0

516,0.00,1.50,0,0.00,1.50,0

533,0.00,1.50,0,0.00,1.50,0

550,0.00,1.50,0,0.00,1.50,0

567,0.00,1.50,0,0.00,1.50,0

583,0.00,1.50,0,0.00,1.50,0

599,0.00,1.50,0,0.00,1.50,0

614,0.00,1.50,0,0.00,1.50,0

633,0.00,1.50,0,0.00,1.50,0

650,0.00,1.50,0,0.00,1.50,0

666,0.00,1.50,0,0.00,1.50,0

682,0.00,1.50,0,0.00,1.50,0

700,0.00,1.50,0,0.00,1.50,0

717,0.00,1.50,0,0.00,1.50,0

733,0.00,1.50,0,0.00,1.50,0

749,0.00,1.50,0,0.00,1.50,0

766,0.00,1.50,0,0.00,1.50,0

783,0.00,1.50,0,0.00,1.50,0

800,0.00,1.50,0,0.00,1.50,0

816,0.00,1.50,0,0.00,1.50,0

832,0.00,1.50,0,0.00,1.50,0

849,0.00,1.50,0,0.00,1.50,0

866,0.00,1.50,0,0.00,1.50,0

883,0.00,1.50,0,0.00,1.50,0

900,0.00,1.50,0,0.00,1.50,0

916,0.00,1.50,0,0.00,1.50,0

931,0.00,1.50,0,0.00,1.50,0

951,0.00,1.50,0,0.00,1.50,0

