16,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

33,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

47,inputA,outputA,a_adjust,inputB,outputB,b_adjust

66,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

80,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

100,inputA,outputA,a_adjust,inputB,outputB,b_adjust

117,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

133,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

150,inputA,outputA,a_adjust,inputB,outputB,b_adjust

166,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

183,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

199,inputA,outputA,a_adjust,inputB,outputB,b_adjust

217,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

231,10.00,25.00,0.00,3.00,60,10.00,25.00,0.00,3.00,60

251,inputA,outputA,a_adjust,inputB,outputB,b_adjust

266,0.00,1.50,60,0.00,1.50,60

283,0.00,32.25,60,0.00,32.25,60

297,0.00,32.25,60,0.00,32.25,60

317,0.00,32.25,60,0.00,32.25,60

333,0.00,32.25,60,0.00,32.25,60

350,0.00,33.00,60,0.00,32.25,60

367,0.00,33.00,60,0.00,33.00,60

382,0.00,33.00,60,0.00,33.00,60

400,0.00,33.00,60,0.00,33.00,60

416,0.00,33.00,60,0.00,33.00,60

432,0.00,33.75,60,0.00,33.00,60

450,0.00,33.75,60,0.00,33.75,60

466,0.00,33.75,60,0.00,33.75,60

484,0.00,33.75,60,0.00,33.75,60

501,0.00,34.50,60,0.00,33.75,60

516,0.00,34.50,60,0.00,33.75,60

531,0.00,34.50,60,0.00,34.50,60

550,0.00,34.50,60,0.00,34.50,60

566,0.00,34.50,60,0.00,34.50,60

582,0.00,35.25,60,0.00,34.50,60

600,0.00,35.25,60,0.00,35.25,60

616,0.00,35.25,60,0.00,35.25,60

633,0.00,35.25,60,0.00,35.25,60

648,0.00,36.00,60,0.00,35.25,60

667,0.00,36.00,60,0.00,35.25,60

685,0.00,36.00,60,0.00,36.00,60

700,0.00,36.00,60,0.00,36.00,60

717,0.00,36.00,60,0.00,36.00,60

732,0.00,36.75,60,0.00,36.00,60

748,0.00,36.75,60,0.00,36.75,60

767,0.00,36.75,60,0.00,36.75,60

782,0.00,36.75,60,0.00,36.75,60

800,0.00,36.75,60,0.00,36.75,60

817,0.00,37.50,60,0.00,36.75,60

834,0.00,37.50,60,0.00,37.50,60

850,0.00,37.50,60,0.00,37.50,60

866,0.00,37.50,60,0.00,37.50,60

883,0.00,37.50,60,0.00,37.50,60

897,0.00,38.25,60,0.00,38.25,60

918,0.00,38.25,60,0.00,38.25,60

934,0.00,38.25,60,0.00,38.25,60

950,0.00,38.25,60,0.00,38.25,60

966,0.00,39.00,60,0.00,38.25,60

983,0.00,39.00,60,0.00,39.00,60

1001,0.00,39.00,60,0.00,39.00,60

1016,0.00,39.00,60,0.00,39.00,60

1033,0.00,39.75,60,0.00,39.00,60

1049,0.00,39.75,60,0.00,39.75,60

1066,0.00,39.75,60,0.00,39.75,60

1080,0.00,39.75,60,0.00,39.75,60

1100,0.00,39.75,60,0.00,39.75,60

1116,0.00,40.50,60,0.00,40.50,60

1133,0.00,40.50,60,0.00,40.50,60

1150,0.00,40.50,60,0.00,40.50,60

1164,0.00,40.50,60,0.00,40.50,60

1183,0.00,40.50,60,0.00,40.50,60

1197,0.00,41.25,60,0.00,41.25,60

1217,0.00,41.25,60,0.00,41.25,60

1233,0.00,41.25,60,0.00,41.25,60

1250,0.00,41.25,60,0.00,41.25,60

1267,0.00,42.00,60,0.00,42.00,60

1280,0.00,42.00,60,0.00,42.00,60

1300,0.00,42.00,60,0.00,42.00,60

1317,0.00,42.00,60,0.00,42.00,60

1333,0.00,42.75,60,0.00,42.75,60

1350,0.00,42.75,60,0.00,42.75,60

1367,0.00,42.75,60,0.00,42.75,60

1383,0.00,42.75,60,1.42,42.75,60

1400,0.00,42.75,60,1.42,42.75,60

1417,0.00,43.50,60,1.42,28.95,60

1433,0.00,43.50,60,1.42,28.95,60

1450,0.00,43.50,60,1.42,28.95,60

1466,0.00,43.50,60,1.42,28.95,60

1483,0.00,44.25,60,1.42,28.95,60

1500,0.00,44.25,60,1.42,29.34,60

1516,0.00,44.25,60,1.42,29.34,60

1533,0.00,44.25,60,1.42,29.34,60

1550,0.00,44.25,60,1.42,29.34,60

1566,0.00,45.00,60,1.42,29.34,60

1583,0.00,45.00,60,1.42,29.74,60

1599,0.00,45.00,60,1.42,29.74,60

1616,0.00,45.00,60,1.42,29.74,60

1633,0.00,45.75,60,1.42,29.74,60

1649,0.00,45.75,60,1.42,30.13,60

1667,0.00,45.75,60,1.42,30.13,60

1681,0.00,45.75,60,1.42,30.13,60

1701,0.00,45.75,60,1.42,30.13,60

1716,0.00,46.50,60,1.42,30.13,60

1733,0.00,46.50,60,1.42,30.53,60

1758,0.00,46.50,60,1.42,30.53,60

1770,0.00,46.50,60,1.42,30.53,60

1783,0.00,47.25,60,1.42,30.53,60

1800,0.00,47.25,60,1.42,30.53,60

1817,0.00,47.25,60,1.42,30.92,60

1833,0.00,47.25,60,1.42,30.92,60

1850,0.00,47.25,60,1.42,30.92,60

